CDTB_DOC	Sentence_ID	Directionality	Causal_Type	Exp/Imp	Arg1_Tense	Arg2_Tense
005.xml	8	Effect-Reason	Purpose	Implicit	Past	Present
006.xml	11	Effect-Reason	Purpose	Implicit	Past	Present
008.xml	13	Effect-Reason	Purpose	Implicit	Present	Present
008.xml	14	Effect-Reason	Purpose	Implicit	Present	Present
009.xml	7	Effect-Reason	Purpose	Implicit	Present	Present
010.xml	3	Reason-Effect	Purpose	Implicit	Past	Present
011.xml	5	Effect-Reason	Purpose	Implicit	Present	Present
011.xml	14	Effect-Reason	Purpose	Implicit	Past	Present
015.xml	8	Effect-Reason	Purpose	Implicit	Present	Present
015.xml	14	Effect-Reason	Purpose	Implicit	Present	Present
016.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
016.xml	9	Effect-Reason	Purpose	Implicit	Past	Present
016.xml	17	Effect-Reason	Purpose	Implicit	Present	Present
019.xml	16	Reason-Effect	Purpose	Implicit	Present	Present
021.xml	1	Effect-Reason	Purpose	Implicit	Future	Present
022.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
024.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
024.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
034.xml	3	Effect-Reason	Purpose	Implicit	Present	Future
035.xml	6	Effect-Reason	Purpose	Implicit	Past	Present
037.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
039.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
039.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
043.xml	1	Effect-Reason	Purpose	Implicit	Present	Future
052.xml	8	Effect-Reason	Purpose	Implicit	Present	Present
059.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
060.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
062.xml	1	Effect-Reason	Purpose	Implicit	Future	Future
062.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
069.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
070.xml	2	Effect-Reason	Purpose	Implicit	Future	Present
071.xml	9	Effect-Reason	Purpose	Implicit	Present	Present
071.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
075.xml	3	Effect-Reason	Purpose	Implicit	Past	Present
075.xml	6	Effect-Reason	Purpose	Implicit	Future	Present
075.xml	7	Effect-Reason	Purpose	Implicit	Future	Present
077.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
082.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
087.xml	5	Effect-Reason	Purpose	Implicit	Present	Present
089.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
089.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
096.xml	10	Effect-Reason	Purpose	Implicit	Present	Present
098.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
100.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
100.xml	7	Effect-Reason	Purpose	Implicit	Present	Present
107.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
109.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
112.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
115.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
115.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
118.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
118.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
118.xml	3	Effect-Reason	Purpose	Implicit	Future	Present
118.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
120.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
121.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
124.xml	3	Effect-Reason	Purpose	Implicit	Past	Past
127.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
127.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
127.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
127.xml	7	Effect-Reason	Purpose	Implicit	Past	Present
132.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
132.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
134.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
134.xml	4	Effect-Reason	Purpose	Implicit	Future	Present
134.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
137.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
138.xml	2	Effect-Reason	Purpose	Implicit	Future	Present
143.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
143.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
147.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
147.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
156.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
164.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
164.xml	5	Effect-Reason	Purpose	Implicit	Present	Present
164.xml	5	Effect-Reason	Purpose	Implicit	Present	Present
167.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
167.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
169.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
179.xml	1	Effect-Reason	Purpose	Implicit	Past	Past
180.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
182.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
183.xml	3	Effect-Reason	Purpose	Implicit	Past	Past
184.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
187.xml	1	Effect-Reason	Purpose	Implicit	Past	Past
189.xml	5	Effect-Reason	Purpose	Implicit	Past	Present
193.xml	1	Effect-Reason	Purpose	Implicit	Past	Past
194.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
196.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
211.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
211.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
214.xml	5	Effect-Reason	Purpose	Implicit	Past	Present
215.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
217.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
220.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
220.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
221.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
222.xml	7	Effect-Reason	Purpose	Implicit	Past	Present
223.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
223.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
223.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
226.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
226.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
229.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
234.xml	2	Effect-Reason	Purpose	Implicit	Future	Present
235.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
238.xml	3	Effect-Reason	Purpose	Implicit	Future	Present
241.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
246.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
246.xml	7	Effect-Reason	Purpose	Implicit	Present	Present
250.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
274.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
290.xml	9	Effect-Reason	Purpose	Implicit	Present	Present
291.xml	3	Effect-Reason	Purpose	Implicit	Past	Present
291.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
295.xml	4	Effect-Reason	Purpose	Implicit	Future	Present
297.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
307.xml	7	Effect-Reason	Purpose	Implicit	Future	Present
318.xml	5	Effect-Reason	Purpose	Implicit	Past	Present
401.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
402.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
402.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
424.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
442.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
443.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
448.xml	4	Effect-Reason	Purpose	Implicit	Future	Present
452.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
453.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
505.xml	2	Effect-Reason	Purpose	Implicit	Future	Present
507.xml	1	Effect-Reason	Purpose	Implicit	Future	Present
509.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
509.xml	2	Effect-Reason	Purpose	Implicit	Future	Present
510.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
511.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
518.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
532.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
532.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
534.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
544.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
544.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
545.xml	1	Effect-Reason	Purpose	Implicit	Future	Present
545.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
548.xml	1	Effect-Reason	Purpose	Implicit	Present	Past
593.xml	2	Effect-Reason	Purpose	Implicit	Past	Past
605.xml	3	Effect-Reason	Purpose	Implicit	Present	Present
605.xml	5	Effect-Reason	Purpose	Implicit	Present	Present
605.xml	6	Effect-Reason	Purpose	Implicit	Present	Present
612.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
612.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
616.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
619.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
619.xml	3	Effect-Reason	Purpose	Implicit	Past	Present
624.xml	3	Effect-Reason	Purpose	Implicit	Future	Present
629.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
633.xml	11	Effect-Reason	Purpose	Implicit	Present	Present
637.xml	4	Effect-Reason	Purpose	Implicit	Present	Future
638.xml	4	Effect-Reason	Purpose	Implicit	Present	Future
639.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
640.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
640.xml	1	Effect-Reason	Purpose	Implicit	Past	Present
640.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
649.xml	4	Effect-Reason	Purpose	Implicit	Past	Present
650.xml	5	Effect-Reason	Purpose	Implicit	Past	Present
652.xml	4	Effect-Reason	Purpose	Implicit	Present	Present
655.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
655.xml	4	Effect-Reason	Purpose	Implicit	Future	Present
656.xml	2	Effect-Reason	Purpose	Implicit	Past	Present
656.xml	1	Effect-Reason	Purpose	Implicit	Present	Present
656.xml	2	Effect-Reason	Purpose	Implicit	Present	Present
656.xml	3	Effect-Reason	Purpose	Implicit	Future	Present
001.xml	3	Reason-Effect	Background	Explicit	Present	Present
083.xml	1	Reason-Effect	Background	Explicit	Present	Present
127.xml	2	Reason-Effect	Background	Explicit	Present	Present
274.xml	1	Reason-Effect	Background	Explicit	Past	Present
004.xml	5	Effect-Reason	Background	Implicit	Past	Present
007.xml	2	Effect-Reason	Background	Implicit	Present	Present
009.xml	15	Reason-Effect	Background	Implicit	Present	Present
013.xml	3	Effect-Reason	Background	Implicit	Present	Present
019.xml	1	Reason-Effect	Background	Implicit	Past	Present
024.xml	1	Reason-Effect	Background	Implicit	Present	Past
026.xml	1	Reason-Effect	Background	Implicit	Present	Present
030.xml	1	Effect-Reason	Background	Implicit	Present	Present
031.xml	1	Reason-Effect	Background	Implicit	Present	Present
032.xml	1	Effect-Reason	Background	Implicit	Present	Past
035.xml	1	Effect-Reason	Background	Implicit	Present	Past
035.xml	1	Effect-Reason	Background	Implicit	Past	Past
038.xml	1	Reason-Effect	Background	Implicit	Past	Past
040.xml	2	Reason-Effect	Background	Implicit	Past	Present
052.xml	2	Reason-Effect	Background	Implicit	Past	Present
052.xml	1	Reason-Effect	Background	Implicit	Present	Present
052.xml	1	Reason-Effect	Background	Implicit	Present	Present
056.xml	1	Reason-Effect	Background	Implicit	Past	Past
058.xml	3	Reason-Effect	Background	Implicit	Present	Present
074.xml	1	Reason-Effect	Background	Implicit	Present	Present
088.xml	1	Reason-Effect	Background	Implicit	Present	Present
088.xml	1	Reason-Effect	Background	Implicit	Present	Past
089.xml	2	Reason-Effect	Background	Implicit	Present	Present
094.xml	1	Reason-Effect	Background	Implicit	Present	Present
096.xml	5	Reason-Effect	Background	Implicit	Present	Past
107.xml	2	Reason-Effect	Background	Implicit	Present	Present
111.xml	1	Reason-Effect	Background	Implicit	Present	Present
111.xml	1	Reason-Effect	Background	Implicit	Past	Present
115.xml	1	Reason-Effect	Background	Implicit	Present	Present
132.xml	1	Effect-Reason	Background	Implicit	Present	Present
134.xml	2	Reason-Effect	Background	Implicit	Present	Present
134.xml	1	Reason-Effect	Background	Implicit	Present	Future
143.xml	1	Effect-Reason	Background	Implicit	Present	Past
151.xml	1	Reason-Effect	Background	Implicit	Present	Present
153.xml	1	Reason-Effect	Background	Implicit	Present	Present
155.xml	1	Reason-Effect	Background	Implicit	Present	Present
155.xml	1	Effect-Reason	Background	Implicit	Past	Present
160.xml	2	Reason-Effect	Background	Implicit	Present	Future
167.xml	1	Reason-Effect	Background	Implicit	Present	Present
184.xml	1	Reason-Effect	Background	Implicit	Past	Present
191.xml	1	Reason-Effect	Background	Implicit	Present	Present
224.xml	1	Reason-Effect	Background	Implicit	Present	Present
238.xml	6	Reason-Effect	Background	Implicit	Present	Present
238.xml	1	Reason-Effect	Background	Implicit	Present	Present
238.xml	2	Reason-Effect	Background	Implicit	Present	Present
240.xml	1	Reason-Effect	Background	Implicit	Past	Present
244.xml	1	Effect-Reason	Background	Implicit	Present	Present
246.xml	1	Reason-Effect	Background	Implicit	Future	Future
246.xml	1	Reason-Effect	Background	Implicit	Present	Present
252.xml	2	Effect-Reason	Background	Implicit	Past	Present
255.xml	1	Effect-Reason	Background	Implicit	Present	Past
259.xml	1	Reason-Effect	Background	Implicit	Past	Present
259.xml	4	Effect-Reason	Background	Implicit	Past	Past
265.xml	1	Reason-Effect	Background	Implicit	Present	Present
266.xml	1	Reason-Effect	Background	Implicit	Present	Present
269.xml	1	Reason-Effect	Background	Implicit	Past	Present
269.xml	1	Reason-Effect	Background	Implicit	Past	Present
279.xml	2	Reason-Effect	Background	Implicit	Present	Present
279.xml	4	Reason-Effect	Background	Implicit	Present	Present
281.xml	1	Reason-Effect	Background	Implicit	Present	Past
285.xml	1	Reason-Effect	Background	Implicit	Present	Present
287.xml	2	Effect-Reason	Background	Implicit	Present	Present
291.xml	1	Reason-Effect	Background	Implicit	Past	Present
294.xml	1	Reason-Effect	Background	Implicit	Present	Present
309.xml	2	Reason-Effect	Background	Implicit	Past	Present
309.xml	2	Reason-Effect	Background	Implicit	Present	Past
309.xml	2	Reason-Effect	Background	Implicit	Present	Present
310.xml	1	Reason-Effect	Background	Implicit	Present	Present
311.xml	1	Reason-Effect	Background	Implicit	Past	Past
312.xml	2	Reason-Effect	Background	Implicit	Present	Present
315.xml	1	Effect-Reason	Background	Implicit	Past	Past
400.xml	1	Reason-Effect	Background	Implicit	Present	Present
400.xml	1	Reason-Effect	Background	Implicit	Present	Present
403.xml	1	Reason-Effect	Background	Implicit	Present	Present
407.xml	1	Effect-Reason	Background	Implicit	Past	Past
408.xml	5	Reason-Effect	Background	Implicit	Past	Present
415.xml	1	Reason-Effect	Background	Implicit	Present	Present
426.xml	1	Reason-Effect	Background	Implicit	Present	Present
430.xml	1	Reason-Effect	Background	Implicit	Past	Past
437.xml	1	Reason-Effect	Background	Implicit	Present	Present
438.xml	2	Reason-Effect	Background	Implicit	Present	Present
438.xml	1	Reason-Effect	Background	Implicit	Present	Present
441.xml	2	Reason-Effect	Background	Implicit	Present	Past
441.xml	1	Effect-Reason	Background	Implicit	Present	Past
501.xml	1	Reason-Effect	Background	Implicit	Present	Present
501.xml	2	Effect-Reason	Background	Implicit	Present	Present
505.xml	1	Reason-Effect	Background	Implicit	Present	Present
505.xml	4	Reason-Effect	Background	Implicit	Present	Present
510.xml	2	Reason-Effect	Background	Implicit	Past	Present
548.xml	1	Effect-Reason	Background	Implicit	Present	Present
551.xml	2	Effect-Reason	Background	Implicit	Present	Present
590.xml	1	Reason-Effect	Background	Implicit	Present	Present
591.xml	1	Reason-Effect	Background	Implicit	Present	Present
591.xml	1	Reason-Effect	Background	Implicit	Past	Present
593.xml	4	Reason-Effect	Background	Implicit	Present	Present
594.xml	1	Reason-Effect	Background	Implicit	Present	Present
594.xml	1	Effect-Reason	Background	Implicit	Present	Present
594.xml	1	Reason-Effect	Background	Implicit	Past	Present
595.xml	2	Reason-Effect	Background	Implicit	Present	Present
595.xml	1	Reason-Effect	Background	Implicit	Past	Present
596.xml	1	Reason-Effect	Background	Implicit	Present	Present
596.xml	2	Reason-Effect	Background	Implicit	Past	Present
600.xml	2	Reason-Effect	Background	Implicit	Present	Present
600.xml	1	Reason-Effect	Background	Implicit	Present	Present
603.xml	1	Effect-Reason	Background	Implicit	Present	Past
604.xml	1	Effect-Reason	Background	Implicit	Present	Present
605.xml	1	Reason-Effect	Background	Implicit	Present	Future
613.xml	3	Reason-Effect	Background	Implicit	Past	Present
615.xml	1	Effect-Reason	Background	Implicit	Present	Present
616.xml	1	Reason-Effect	Background	Implicit	Past	Present
617.xml	1	Reason-Effect	Background	Implicit	Past	Present
618.xml	1	Reason-Effect	Background	Implicit	Present	Present
626.xml	1	Effect-Reason	Background	Implicit	Present	Past
630.xml	1	Effect-Reason	Background	Implicit	Present	Present
630.xml	1	Reason-Effect	Background	Implicit	Present	Present
631.xml	1	Effect-Reason	Background	Implicit	Present	Past
633.xml	3	Reason-Effect	Background	Implicit	Past	Present
635.xml	1	Reason-Effect	Background	Implicit	Present	Present
637.xml	1	Reason-Effect	Background	Implicit	Present	Present
643.xml	1	Reason-Effect	Background	Implicit	Past	Present
